County,Year,Income,Population
Jackson County,2006,36073,1383
Crowley County,2006,28375,6242
Boulder County,2006,62322,291449
Custer County,2006,41811,3863
Morgan County,2006,40266,27639
Garfield County,2006,59503,51111
Alamosa County,2006,33726,15288
Gunnison County,2006,41434,14656
Kit Carson County,2006,38751,7948
Rio Grande County,2006,35842,11839
Yuma County,2006,38067,9604
Huerfano County,2006,28778,7774
Fremont County,2006,37831,47203
Adams County,2006,50930,409532
Lincoln County,2006,35524,5329
Clear Creek County,2006,61744,8869
La Plata County,2006,50561,48834
Teller County,2006,57686,21440
Montezuma County,2006,37389,24907
Conejos County,2006,28591,8083
Douglas County,2006,93273,259881
Jefferson County,2006,60784,524507
Moffat County,2006,50285,13298
Hinsdale County,2006,42406,816
Dolores County,2006,35877,1892
Archuleta County,2006,46904,12096
Routt County,2006,61128,21722
San Miguel County,2006,54850,7186
Larimer County,2006,54241,281215
Kiowa County,2006,33032,1360
Gilpin County,2006,60235,5034
Montrose County,2006,42016,38098
Mineral County,2006,42228,916
Ouray County,2006,51747,4219
Lake County,2006,40443,7666
Logan County,2006,37885,20895
Grand County,2006,54619,13373
Baca County,2006,29443,3912
Pitkin County,2006,67950,14905
El Paso County,2006,53234,579710
Mesa County,2006,42791,133651
Denver County,2006,41357,568692
Costilla County,2006,23000,3341
Arapahoe County,2006,55804,532347
Elbert County,2006,75374,22648
Prowers County,2006,32003,13370
Bent County,2006,30475,6070
Saguache County,2006,28213,6842
Pueblo County,2006,36999,151814
Douglas County,2007,94042,271955
Crowley County,2007,30896,6471
Conejos County,2007,30453,8006
Eagle County,2007,73440,50568
Delta County,2007,39082,30219
Saguache County,2007,30193,6864
Chaffee County,2007,42464,16858
Garfield County,2007,64173,52965
Rio Grande County,2007,37350,11621
Montrose County,2007,45254,39452
Archuleta County,2007,53200,12479
Custer County,2007,44193,3964
Bent County,2007,32043,5785
Lincoln County,2007,36252,5247
Kit Carson County,2007,37288,7871
Prowers County,2007,34581,13006
Lake County,2007,41492,7854
Hinsdale County,2007,47010,834
Las Animas County,2007,36607,15815
Adams County,2007,52544,419607
Dolores County,2007,36797,1889
Ouray County,2007,55074,4400
Teller County,2007,59075,21749
Pitkin County,2007,72727,15099
La Plata County,2007,53720,49668
Mesa County,2007,49926,138289
Boulder County,2007,64299,295691
Broomfield County,2007,70168,53664
Baca County,2007,30397,3840
Fremont County,2007,34630,47340
Montezuma County,2007,41425,25108
Pueblo County,2007,40570,154348
Gunnison County,2007,49333,14988
Jefferson County,2007,64548,528396
Rio Blanco County,2007,58841,6198
Yuma County,2007,41570,9580
Huerfano County,2007,29783,7705
Logan County,2007,40874,20908
Routt County,2007,63797,22340
Costilla County,2007,25164,3303
Kiowa County,2007,34084,1305
Alamosa County,2007,35988,15297
El Paso County,2007,55253,585518
Larimer County,2007,52968,286927
Sedgwick County,2007,32086,2330
Gilpin County,2007,62746,5070
San Juan County,2007,38257,574
Summit County,2007,68685,26234
San Miguel County,2007,59973,7459
Otero County,2007,31996,18706
Jackson County,2007,39007,1369
Cheyenne County,2007,44053,1781
Mineral County,2007,44031,963
Grand County,2007,59118,13575
Arapahoe County,2007,59299,543414
Denver County,2007,44881,578789
Washington County,2007,38149,4597
Morgan County,2007,43540,27552
Phillips County,2007,39430,4469
Park County,2007,61987,16964
Clear Creek County,2007,65137,8933
Moffat County,2007,54323,13555
Elbert County,2007,77037,22684
Weld County,2007,52228,242250
Mesa County,2008,54337,141905
Moffat County,2008,56427,13822
Summit County,2008,64813,26724
Garfield County,2008,67063,54838
Pueblo County,2008,42005,156009
Douglas County,2008,100493,281138
Washington County,2008,38982,4472
Costilla County,2008,25208,3246
Gilpin County,2008,62332,5238
Grand County,2008,58895,13775
Otero County,2008,33234,18639
Saguache County,2008,33198,7018
Larimer County,2008,56701,292889
El Paso County,2008,59061,595359
Clear Creek County,2008,57227,8910
Elbert County,2008,75990,22938
Prowers County,2008,35730,12989
Teller County,2008,58457,21616
Phillips County,2008,42087,4448
Sedgwick County,2008,35350,2348
